"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","playerid"
"Joey Votto","Reds","139","482","610","151","88","28","1","34","94","93","116","16","71","7","5","0","14","5","1",".313",".449",".587","4314"
"Paul Goldschmidt","Diamondbacks","135","484","582","152","84","32","3","33","102","109","87","15","125","8","3","0","12","17","5",".314",".424",".597","9218"
"Anthony Rizzo","Cubs","135","499","599","139","76","30","2","31","88","100","76","8","77","21","3","0","16","8","3",".279",".394",".533","3473"
"Cody Bellinger","Dodgers","108","397","448","107","49","19","3","36","74","82","48","8","118","1","2","0","3","9","3",".270",".348",".605","15998"
"Justin Smoak","Blue Jays","136","484","547","137","77","22","1","37","78","85","60","1","112","1","2","0","12","0","1",".283",".362",".562","9054"
"Ryan Zimmerman","Nationals","126","454","504","137","79","28","0","30","79","91","42","1","107","3","5","0","14","1","0",".302",".361",".562","4220"
"Eric Hosmer","Royals","137","515","574","163","115","24","1","23","82","80","57","2","92","0","2","0","17","6","1",".317",".383",".501","3516"
"Joey Gallo","Rangers","120","373","442","79","24","15","3","37","73","72","63","1","160","6","0","0","3","7","1",".212",".335",".566","14128"
"Yonder Alonso","- - -","124","397","461","107","61","21","0","25","66","60","62","6","107","2","0","0","8","1","0",".270",".371",".511","2530"
"Logan Morrison","Rays","130","455","531","115","58","20","1","36","69","82","71","7","125","2","3","0","9","2","0",".253",".354",".538","9205"
"Jose Abreu","White Sox","133","531","577","158","91","36","4","27","78","83","31","6","102","13","2","0","18","1","0",".298",".350",".533","15676"
"Mark Reynolds","Rockies","129","454","523","123","75","19","1","28","76","89","65","0","153","1","3","0","11","2","1",".271",".361",".502","7619"
"Eric Thames","Brewers","120","416","488","98","45","21","4","28","74","54","66","4","145","6","0","0","5","4","2",".236",".348",".507","3711"
"Trey Mancini","Orioles","124","452","490","132","85","21","3","23","57","73","28","1","111","6","4","0","11","1","0",".292",".339",".504","15149"
"Carlos Santana","Indians","131","489","572","126","70","32","2","22","84","73","76","6","85","6","1","0","9","5","1",".258",".364",".466","2396"
"Brandon Belt","Giants","104","382","451","92","44","27","3","18","63","51","66","2","104","2","1","0","5","3","2",".241",".355",".469","10264"
"Matt Carpenter","Cardinals","126","443","548","106","58","28","2","18","75","63","89","3","106","9","5","2","5","2","1",".239",".374",".433","8090"
"Josh Bell","Pirates","137","472","535","124","70","24","6","24","69","82","58","4","93","1","4","0","14","2","2",".263",".342",".492","13145"
"Joe Mauer","Twins","119","443","504","134","97","30","1","6","59","56","56","1","68","3","2","0","15","2","0",".302",".383",".415","1857"
"Chase Headley","Yankees","127","440","507","123","81","30","1","11","65","54","55","2","119","5","6","1","7","7","2",".280",".362",".427","4720"
"Yulieski Gurriel","Astros","119","461","490","135","82","36","1","16","61","63","17","1","52","7","5","0","10","3","2",".293",".324",".479","19198"
"Wil Myers","Padres","133","490","561","118","68","23","3","24","68","64","59","2","156","5","7","0","14","17","6",".241",".324",".447","10047"
"Mitch Moreland","Red Sox","129","437","496","108","62","28","0","18","61","65","49","6","110","6","4","0","10","0","1",".247",".329",".435","3086"
"Chris Davis","Orioles","107","388","447","86","49","13","1","23","58","55","52","4","164","3","4","0","6","0","1",".222",".315",".438","9272"
"Miguel Cabrera","Tigers","116","420","478","104","69","21","0","14","45","57","52","6","99","3","3","0","13","0","1",".248",".333",".398","1744"
"Danny Valencia","Mariners","120","428","470","112","76","19","3","14","53","62","33","0","117","2","7","0","15","1","2",".262",".313",".418","6364"
"Tommy Joseph","Phillies","127","463","500","111","64","26","1","20","47","65","32","1","118","2","3","0","21","1","0",".240",".290",".430","10349"
"Mike Napoli","Rangers","118","410","468","79","39","11","1","28","58","63","47","3","155","7","3","0","11","1","1",".193",".285",".429","3057"
