"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","OBP","SLG","playerid"
"Erik Kratz","Yankees","4","2","2","2","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","1.000","1.000","1.500","4403"
"Darrell Ceciliani","Blue Jays","3","5","5","2","0","1","0","1","2","3","0","0","0","0","0","0","0","0","0",".400",".400","1.200","9954"
"Miguel Andujar","Yankees","5","7","8","4","2","2","0","0","0","4","1","0","0","0","0","0","0","1","0",".571",".625",".857","15878"
"Christian Walker","Diamondbacks","11","12","15","3","0","1","0","2","2","2","1","0","5","2","0","0","0","0","0",".250",".400",".833","13419"
"Rob Brantly","White Sox","14","31","36","9","6","1","0","2","4","5","3","0","14","2","0","0","0","0","0",".290",".389",".516","10655"
"Nelson Cruz","Mariners","155","556","645","160","93","28","0","39","91","119","70","7","140","12","7","0","15","1","1",".288",".375",".549","2434"
"Adrian Beltre","Rangers","94","340","389","106","66","22","1","17","47","71","39","2","52","4","6","0","7","1","0",".312",".383",".532","639"
"Edwin Encarnacion","Indians","157","554","669","143","84","20","1","38","96","107","104","5","133","5","5","0","18","2","0",".258",".377",".504","2151"
"Nick Delmonico","White Sox","43","141","166","37","24","4","0","9","25","23","23","0","31","2","0","0","5","2","0",".262",".373",".482","13157"
"Pedro Alvarez","Orioles","14","32","34","10","8","1","0","1","4","4","2","0","10","0","0","0","0","0","0",".313",".353",".438","2495"
"Corey Dickerson","Rays","150","588","629","166","102","33","4","27","84","62","35","6","152","3","2","0","11","4","3",".282",".325",".490","10762"
"Shin-Soo Choo","Rangers","149","544","636","142","99","20","1","22","96","78","77","1","134","7","5","3","18","12","3",".261",".357",".423","3174"
"Robbie Grossman","Twins","119","382","456","94","62","22","1","9","62","45","67","0","79","3","2","2","6","3","1",".246",".361",".380","5254"
"Evan Gattis","Astros","84","300","325","79","45","22","0","12","41","55","18","0","50","4","3","0","10","0","1",".263",".311",".457","11003"
"Chad Huffman","Cardinals","12","14","15","4","3","0","1","0","3","0","1","0","6","0","0","0","0","0","0",".286",".333",".429","5311"
"Kennys Vargas","Twins","78","241","264","61","37","13","0","11","33","41","20","1","77","2","1","0","10","0","0",".253",".314",".444","12101"
"Matt Holliday","Yankees","105","373","427","86","49","18","0","19","50","64","46","0","114","3","5","0","14","1","0",".231",".316",".432","1873"
"Ryon Healy","Athletics","149","576","605","156","102","29","0","25","66","78","23","0","142","4","2","0","16","0","1",".271",".302",".451","15447"
"Kendrys Morales","Blue Jays","150","557","608","139","86","25","0","28","67","85","43","2","132","5","3","0","22","0","0",".250",".308",".445","8610"
"Hanley Ramirez","Red Sox","133","496","553","120","73","24","0","23","58","62","51","8","116","6","0","0","15","1","3",".242",".320",".429","8001"
"Chris Young","Red Sox","90","243","276","57","36","12","2","7","30","25","30","0","55","2","1","0","4","3","2",".235",".322",".387","3882"
"Victor Martinez","Tigers","107","392","435","100","74","16","0","10","38","47","36","3","63","5","2","0","15","0","0",".255",".324",".372","393"
"Brandon Moss","Royals","118","362","401","75","39","14","0","22","41","50","37","0","128","0","2","0","7","2","0",".207",".279",".428","4467"
"Matt Davidson","White Sox","118","414","443","91","48","16","1","26","43","68","19","0","165","5","5","0","12","0","1",".220",".260",".452","7226"
"Rickie Weeks Jr.","Rays","37","97","112","21","13","6","0","2","13","8","12","0","49","3","0","0","0","1","0",".216",".321",".340","1849"
"Tyler Austin","Yankees","20","40","46","9","5","2","0","2","4","8","4","0","17","0","2","0","1","0","0",".225",".283",".425","11850"
"Mark Trumbo","Orioles","146","559","603","131","86","22","0","23","79","65","42","0","149","1","1","0","13","1","0",".234",".289",".397","6876"
"Albert Pujols","Angels","149","593","636","143","103","17","0","23","53","101","37","5","93","2","4","0","26","3","0",".241",".286",".386","1177"
"Carlos Beltran","Astros","129","467","509","108","65","29","0","14","60","51","33","3","102","3","6","0","9","0","0",".231",".283",".383","589"
"Renato Nunez","Athletics","8","15","16","3","2","0","0","1","1","3","1","0","8","0","0","0","0","0","0",".200",".250",".400","14503"
"Cesar Puello","- - -","17","34","39","7","7","0","0","0","6","3","4","0","12","1","0","0","2","2","0",".206",".308",".206","7216"
"Jorge Soler","Royals","35","97","110","14","7","5","0","2","7","6","12","1","36","1","0","0","5","0","0",".144",".245",".258","14221"
"Cody Asche","White Sox","19","57","62","6","4","1","0","1","5","4","3","1","21","2","0","0","1","0","0",".105",".177",".175","11997"
"Terrance Gore","Royals","12","4","5","0","0","0","0","0","2","0","1","0","2","0","0","0","0","2","2",".000",".200",".000","13658"
"Steve Selsky","Red Sox","8","9","9","1","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0",".111",".111",".222","12957"
"Francisco Mejia","Indians","11","13","14","2","2","0","0","0","1","1","1","1","3","0","0","0","0","0","0",".154",".214",".154","16403"
"David Washington","Orioles","3","6","6","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0",".000",".000",".000","12110"
"A.J. Reed","Astros","2","6","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000",".000",".000","16246"
